iter	Accuracy	Logloss
123	0.7163389831	0.5453092932
124	0.7170567261	0.5449070264
125	0.7175572294	0.5442349716
126	0.7179858109	0.5436565956
127	0.7179153637	0.5433067176
128	0.7189193192	0.5427328086
129	0.719421297	0.5421524681
130	0.7203489073	0.5416618106
131	0.7207760144	0.5409852593
132	0.7212794666	0.5405916668
133	0.7211356231	0.5403188111
134	0.7216346519	0.5399869256
135	0.7218518916	0.5394074245
136	0.7222789987	0.5391617301
137	0.7229203965	0.5387125556
138	0.7227809765	0.5385311371
139	0.7229952672	0.5384508965
140	0.7222834221	0.5380677696
141	0.7232814798	0.5376203249
142	0.7232785308	0.5375581804
143	0.7235647433	0.5370948186
144	0.7239918504	0.5365957769
145	0.7239918504	0.5364407302
146	0.7239947993	0.5359061692
147	0.7246332482	0.5355914529
148	0.7246347227	0.5353698165
149	0.7249209352	0.5351815798
150	0.7247036955	0.5347158327
151	0.7260584129	0.5340979757
152	0.7259145694	0.533853344
153	0.7259160439	0.5333511143
154	0.7260613619	0.5328817931
155	0.7262052054	0.5328305564
156	0.7277727391	0.5323053341
157	0.7283466386	0.5319752331
158	0.7290643816	0.5315842003
159	0.7288545142	0.5312896682
160	0.7292830958	0.5309072335
161	0.729068805	0.5307666329
162	0.7294959121	0.5304193966
163	0.7295707828	0.5298371893
164	0.7302121806	0.5292727606
165	0.7299964154	0.5290767454
166	0.7297116773	0.5287881404
167	0.7300727606	0.528437412
168	0.73128216	0.5280775326
169	0.7310693437	0.5276079825
170	0.7316417687	0.5272672099
171	0.7319250323	0.5270539211
172	0.7320688758	0.5268037949
173	0.7326427753	0.5263659763
174	0.732862964	0.5260282001
175	0.7339329434	0.5255005882
176	0.7337216015	0.5253755075
177	0.7342206304	0.5249831019
178	0.7349368989	0.5246745159
179	0.7342925521	0.524322194
180	0.7342940266	0.5240660235
181	0.7342940266	0.5238413263
182	0.7343659483	0.5237784707
183	0.7343674228	0.5234202896
184	0.7345831881	0.5230458254
185	0.7352260604	0.5228328663
186	0.7350822169	0.5226442769
187	0.7350822169	0.5224991086
188	0.7357955364	0.5219889331
189	0.7350836913	0.5216666311
190	0.7365852012	0.5211398996
191	0.7377960751	0.5208566839
192	0.7376537061	0.5206346035
193	0.7377960751	0.5203725394
194	0.7391507925	0.5198513364
195	0.7390803453	0.5195392609
196	0.7393665578	0.5192526259
197	0.7395837975	0.5189151323
198	0.7395118758	0.5187432613
199	0.7397921904	0.5182255503
200	0.7403675644	0.5179682603
201	0.7414375437	0.5175571651
202	0.7417237563	0.5172778567
203	0.7420129177	0.5170756455
204	0.7427262373	0.5167552377
205	0.7430858461	0.5164370614
206	0.7435144276	0.5159863555
207	0.743948907	0.5155545478
208	0.7447370973	0.5151270161
209	0.7448824153	0.5148928327
210	0.7450981805	0.5145773276
211	0.7451686278	0.5142299912
212	0.7454548403	0.5140612574
213	0.7455267621	0.5140332938
214	0.7459553436	0.5136400691
215	0.7455957349	0.5133301464
216	0.746452898	0.5129780118
217	0.7471001937	0.5124303112
218	0.7474568535	0.5121509495
219	0.7477371681	0.5118638384
220	0.7470942958	0.5112108668
221	0.747885435	0.5109062243
222	0.7481012003	0.5107272935
223	0.7481026748	0.510296223
224	0.7485297818	0.510010333
225	0.7488174688	0.5098403828
226	0.7492475248	0.509659829
227	0.7493179721	0.5092246934
228	0.7495322629	0.5090788565
229	0.7498170009	0.5088899435
230	0.7509603765	0.5083887054
231	0.7521111245	0.5080702221
232	0.7523943881	0.5078566605
233	0.7527495734	0.5075461766
234	0.7532486022	0.5074010802
235	0.754035318	0.5070655335
236	0.7534643674	0.5068698581
237	0.7537535289	0.5065902675
238	0.7531077076	0.5062429307
239	0.754035318	0.5059229884
240	0.7544624251	0.5054335187
241	0.7548939555	0.5051434965
242	0.7554619572	0.5048744068
243	0.7550363246	0.5045930812
244	0.7551786936	0.5043204553
245	0.7553929844	0.5039639235
246	0.7556791969	0.5038037046
247	0.7560373311	0.503459945
248	0.7561826491	0.5031900226
249	0.7564688616	0.5029588505
250	0.7571117339	0.5027641422
251	0.7573260247	0.502527902
252	0.7566141796	0.5023308428
253	0.7574728172	0.5019519952
254	0.7583285058	0.5014199323
255	0.758544271	0.5010995787
256	0.7584738237	0.5008277543
257	0.7587600363	0.5003717473
258	0.7599738591	0.5000187934
259	0.7608310222	0.4995444819
260	0.7614738945	0.4993352617
261	0.7610438385	0.4991109784
262	0.7616896598	0.498482369
263	0.7617586326	0.4982036615
264	0.7622606103	0.4979414061
265	0.7620463196	0.4975726748
266	0.7621182413	0.4975254958
267	0.7628330354	0.4970772903
268	0.7629049571	0.4968212147
269	0.7625482973	0.4965987155
270	0.7628345098	0.4962990903
271	0.7633379621	0.4958018008
272	0.7630502751	0.4956392774
273	0.7628389333	0.495326543
274	0.7636931474	0.4951167619
275	0.7639059637	0.4949719772
276	0.7635493039	0.4948613895
277	0.7639000658	0.494401148
278	0.7643286473	0.4940860291
279	0.7648306251	0.4937738046
280	0.7648291506	0.4936734202
281	0.7650449159	0.4935180562
282	0.7650434414	0.4933766631
283	0.7656892626	0.4931469351
284	0.7660473969	0.4927350342
285	0.7661897659	0.4924265871
286	0.7662616877	0.4920819624
287	0.7657656078	0.4917985377
288	0.7663350839	0.4913609798
289	0.7672626943	0.4910753159
290	0.767479934	0.4909528963
291	0.7674065378	0.4903305296
292	0.7678351193	0.4898674037
293	0.7689065731	0.4897311553
294	0.7686908079	0.4895457052
295	0.7701292429	0.489092552
296	0.7705548755	0.4887290277
297	0.77069577	0.4884524724
298	0.7707617938	0.4879789627
299	0.7708337156	0.4879370004
300	0.7716908787	0.4877189116
301	0.7718347222	0.48739379
302	0.7719066439	0.4870962104
303	0.7720504874	0.4868209111
304	0.7714795369	0.4866518971
305	0.7716204314	0.4862094317
306	0.7719800401	0.4860066774
307	0.7721238836	0.4856702086
308	0.7726918853	0.485434112
309	0.7729120739	0.485033568
