iter	Passed	Remaining
401	14819	22045
402	14853	22003
403	14882	21955
404	14913	21910
405	14950	21872
406	14987	21836
407	15024	21800
408	15063	21766
409	15099	21728
410	15144	21702
411	15182	21667
412	15217	21629
413	15256	21595
414	15293	21558
415	15336	21530
416	15372	21491
417	15409	21455
418	15444	21415
419	15476	21372
420	15507	21327
421	15540	21284
422	15573	21243
423	15606	21201
424	15641	21162
425	15678	21125
426	15715	21088
427	15752	21052
428	15789	21015
429	15822	20974
430	15861	20940
431	15897	20902
432	15931	20862
433	15966	20823
434	16004	20786
435	16040	20749
436	16073	20708
437	16107	20667
438	16146	20633
439	16233	20661
440	16266	20619
441	16301	20580
442	16342	20548
443	16381	20514
444	16418	20477
445	16458	20444
446	16503	20416
447	16542	20382
448	16575	20341
449	16610	20301
450	16648	20265
451	16684	20228
452	16723	20193
453	16760	20156
454	16801	20125
455	16837	20087
456	16873	20048
457	16913	20015
458	16950	19979
459	16987	19941
460	17026	19906
461	17062	19869
462	17095	19827
463	17125	19782
464	17155	19738
465	17188	19696
466	17224	19658
467	17259	19619
468	17296	19583
469	17331	19544
470	17369	19508
471	17403	19468
472	17440	19431
473	17472	19389
474	17504	19346
475	17533	19301
476	17564	19258
477	17598	19217
478	17629	19175
479	17659	19131
480	17692	19090
481	17730	19054
482	17768	19019
483	17802	18979
484	17831	18934
485	17862	18891
486	17894	18850
487	17926	18808
488	17964	18772
489	18002	18737
490	18040	18701
491	18074	18662
492	18108	18622
493	18141	18582
494	18172	18539
495	18211	18504
496	18246	18467
497	18281	18428
498	18364	18438
499	18408	18408
500	18445	18371
501	18476	18329
502	18509	18288
503	18542	18247
504	18577	18209
505	18614	18173
506	18652	18137
507	18692	18103
508	18731	18069
509	18773	18037
510	18808	17999
511	18843	17960
512	18879	17922
513	18917	17887
514	18951	17847
515	18981	17804
516	19014	17764
517	19047	17724
518	19086	17688
519	19125	17654
520	19164	17619
521	19199	17581
522	19232	17540
523	19267	17502
524	19297	17459
525	19336	17424
526	19370	17385
527	19407	17348
528	19442	17310
529	19480	17275
530	19518	17239
531	19557	17205
532	19599	17172
533	19641	17140
534	19680	17105
535	19713	17065
536	19743	17022
537	19773	16980
538	19807	16941
539	19843	16904
540	19879	16866
541	19915	16828
542	19951	16791
543	19992	16758
544	20030	16722
545	20066	16685
546	20104	16649
547	20138	16610
548	20175	16574
549	20213	16538
550	20251	16502
551	20288	16465
552	20325	16429
553	20356	16388
554	20389	16348
555	20420	16307
556	20487	16294
557	20547	16276
558	20584	16239
559	20620	16201
560	20658	16166
561	20691	16126
562	20724	16086
563	20756	16046
564	20787	16004
565	20820	15964
566	20861	15930
567	20902	15897
568	20936	15859
569	20980	15827
570	21017	15790
571	21053	15753
572	21089	15715
573	21128	15680
